"word","freq"
"specifically",1
"suppose",1
"skills",1
"yesterday…",1
"identify",1
"informative…",1
"tells",1
"functions",1
"funs",1
"summariseall",1
"statistic",1
"two…",1
"strong",1
"strongly",1
"suggests",1
"correlated…",1
"pair",1
"coeffecient",1
"back",1
"coefficients",1
"piece",1
"suprising",1
"typing",1
"check",1
"clear",1
"descriptives",1
"even",1
"gain",1
"importantance",1
"known",1
"quick",1
"relying",1
"side",1
"indeed",1
"faithful",1
"instances",1
"reported",1
"representation",1
"taken",1
"datasaurus",1
"dozen",1
"examples",1
"httpswwwautodeskresearchcompublicationssamestats",1
"style",1
"computers",1
"development",1
"figures",1
"hard",1
"history",1
"pen",1
"rely",1
"scientific",1
"throughout",1
"utilise",1
"computer",1
"however",1
"interpretable",1
"requiring",1
"right",1
"somebody",1
"understands",1
"upon",1
"actually",1
"cautious",1
"lead",1
"useful…",1
"creating",1
"others",1
"three",1
"accessibility",1
"single",1
"annotations",1
"labels",1
"extract",1
"message",1
"across",1
"comparisons",1
"accuracy",1
"confidence",1
"included",1
"intervals",1
"measures",1
"variability",1
"appropriately",1
"scaled",1
"choice",1
"presentation",1
"avoided",1
"highlight",1
"outliers",1
"avaiable",1
"space",1
"colours",1
"effectively",1
"whitespace",1
"basics",1
"commonly",1
"ggplots",1
"knowledge",1
"many",1
"practically",1
"remainder",1
"session",1
"whole",1
"begin",1
"calling",1
"ggplot…",1
"useless",1
"noticed",1
"relies",1
"surprise",1
"write",1
"press",1
"retyping",1
"tab",1
"sure",1
"intuitively",1
"parts",1
"argument…",1
"filling",1
"needs",1
"information…",1
"form…",1
"specifying",1
"amount",1
"minimum",1
"provided",1
"assignment",1
"store",1
"real",1
"shown",1
"artist",1
"build",1
"landscape…",1
"logical",1
"painting",1
"canvas",1
"second",1
"third",1
"fourth",1
"artistic",1
"finally",1
"visulisations",1
"adds",1
"default",1
"defaults",1
"detail",1
"geometric",1
"none",1
"predominantly",1
"return",1
"settings",1
"highlighting",1
"introduce",1
"sections",1
"combination",1
"seems",1
"sensible",1
"varaibles",1
"favourite",1
"scatterplot…",1
"form",1
"frequency",1
"reaction",1
"scatterplots",1
"word",1
"previously",1
"written",1
"existing",1
"way…",1
"congratulations",1
"rest",1
"seeing",1
"allow",1
"fitted",1
"interest",1
"including",1
"previous",1
"letting",1
"deleting",1
"bonus",1
"narrow",1
"represents",1
"shaded",1
"variance",1
"false",1
"basically",1
"method",1
"models",1
"specific",1
"terminology",1
"tomorrow",1
"worry",1
"direction",1
"magnitude",1
"trends",1
"categories",1
"complicated",1
"discrete",1
"native",1
"scale",1
"auckland",1
"christchurch",1
"invercargill",1
"wellington",1
"areas",1
"differences",1
"investigating",1
"pronunciation",1
"relation",1
"sounds",1
"zealand",1
"frame",1
"selectstartswithx",1
"gatherkey",1
"groupbyx",1
"meanvalue",1
"sdvalue",1
"summarisemean",1
"bars",1
"include",1
"stat",1
"varaible",1
"awful",1
"pretty",1
"bars…",1
"errorbar",1
"ymax",1
"ymin",1
"geompoint…",1
"arguments",1
"geompointdata",1
"errorbars",1
"depends",1
"save",1
"httpsggplottidyverseorgreferencegeomboxplothtml",1
"imporant",1
"pieces",1
"aware",1
"inaccurate",1
"location",1
"overlap…",1
"somewhat",1
"uncommon",1
"datapoints",1
"issue",1
"jittered",1
"neat",1
"overlapping",1
"reduces",1
"solution",1
"take",1
"geomjitterwidth",1
"easiest",1
"interpret",1
"concise",1
"excelspsspython…",1
"far",1
"looked",1
"probably",1
"section",1
"stand",1
"thinking",1
"almost",1
"auidence",1
"impressive",1
"modified",1
"personalised",1
"suit",1
"tweaked",1
"created",1
"experiment",1
"fake",1
"pretend",1
"workshop",1
"box",1
"green",1
"readcsvurlhttpsrawgithubusercontentcomjamesbrandsciencelassworkshopggplotmasterwordlearningcsv",1
"spent",1
"dependent",1
"lived",1
"agegroup",1
"old",1
"whether",1
"young",1
"random",1
"also…",1
"changes",1
"track",1
"drawn",1
"group",1
"difficult",1
"messy",1
"results…",1
"alpha…",1
"incorporate",1
"transparency",1
"goes",1
"outside",1
"agegroup…",1
"based",1
"vary",1
"already",1
"overcomplicating",1
"acts",1
"divide",1
"everything",1
"manually",1
"split",1
"facetwrap",1
"simple",1
"facetting",1
"facetwrapagegroup",1
"certainly",1
"frequencies",1
"offers",1
"snapshot",1
"table",1
"called",1
"ggwordcloud…",1
"installpackagesggwordcloud",1
"libraryggwordcloud",1
"dataset…",1
