"Speaker","participant_year_of_birth","Gender","Vowel","F1","F2"
"speaker_002",1877,"M","DRESS",-0.438767626630609,1.17964476415617
"speaker_002",1877,"M","DRESS",-0.593961799598169,0.607695386759357
"speaker_002",1877,"M","DRESS",-0.562922965004657,1.25715192277536
"speaker_002",1877,"M","DRESS",-0.304266010058724,1.2143893525027
"speaker_002",1877,"M","DRESS",-0.418075070234935,1.42285688258192
"speaker_002",1877,"M","DRESS",0.347549516405026,1.09679228425289
"speaker_002",1877,"M","DRESS",-0.335304844652236,1.42552954322396
"speaker_002",1877,"M","DRESS",0.0371611704699066,0.770727685923869
"speaker_002",1877,"M","DRESS",-0.0559553333106291,1.08075632040065
"speaker_002",1877,"M","DRESS",-0.231842062673863,1.52441798697948
"speaker_002",1877,"M","DRESS",-0.0249164987171172,0.677184563452428
"speaker_002",1877,"M","DRESS",-0.728463416170054,0.588986762265069
"speaker_002",1877,"M","DRESS",-0.149071837091165,0.615713368685481
"speaker_002",1877,"M","DRESS",-0.718117137972216,0.762709703997746
"speaker_002",1877,"M","DRESS",-0.749155972565728,-0.565602635096718
"speaker_002",1877,"M","FLEECE",-1.16300710047922,1.60192514559867
"speaker_002",1877,"M","FLEECE",-1.47339544641434,1.79702937246768
"speaker_002",1877,"M","FLEECE",-1.22508476966624,1.66339634036562
"speaker_002",1877,"M","FLEECE",-1.75274495775595,0.292321430998499
"speaker_002",1877,"M","FLEECE",-1.87690029612999,0.971177234076957
"speaker_002",1877,"M","FLEECE",-2.27005886764781,2.06162277602976
"speaker_002",1877,"M","FLEECE",-1.23543104786408,1.90126313750729
"speaker_002",1877,"M","FLEECE",-1.57685822839271,1.88522717365504
"speaker_002",1877,"M","FLEECE",-1.31820127344678,1.85850056723463
"speaker_002",1877,"M","FLEECE",-0.345651122850073,1.78366606925747
"speaker_002",1877,"M","FLEECE",-1.30785499524894,-1.14022467313557
"speaker_002",1877,"M","FLEECE",-1.69066728856892,0.34042932255524
"speaker_002",1877,"M","FLEECE",-1.95967052171269,1.26249724405945
"speaker_002",1877,"M","FLEECE",-1.57685822839271,1.90393579814933
"speaker_002",1877,"M","FLEECE",-1.6285896193819,2.43044994463144
"speaker_002",1877,"M","GOOSE",-0.997466649313823,0.254904182009922
"speaker_002",1877,"M","GOOSE",-1.20439221327057,-1.41016339798173
"speaker_002",1877,"M","GOOSE",-0.914696423731125,-0.939775124982483
"speaker_002",1877,"M","GOOSE",-0.687078303378704,-1.11884338799924
"speaker_002",1877,"M","GOOSE",-0.355997401047911,-0.803469432238383
"speaker_002",1877,"M","GOOSE",-1.25612360425976,-0.357135105017507
"speaker_002",1877,"M","GOOSE",-1.87690029612999,-0.00701656091011281
"speaker_002",1877,"M","GOOSE",-1.09058315309436,0.615713368685481
"speaker_002",1877,"M","GOOSE",-0.976774092918149,-0.143322253654213
"speaker_002",1877,"M","GOOSE",-0.697424581576542,-0.536203368034265
"speaker_002",1877,"M","GOOSE",-0.966427814720311,1.04601173205411
"speaker_002",1877,"M","GOOSE",-1.00781292751166,0.594332083549151
"speaker_002",1877,"M","GOOSE",-1.26646988245759,-1.44223532568622
"speaker_002",1877,"M","GOOSE",-0.697424581576542,-1.53043312687358
"speaker_002",1877,"M","GOOSE",-0.821579919950589,0.441990426952804
"speaker_002",1877,"M","KIT",-1.16300710047922,1.1555908183778
"speaker_002",1877,"M","KIT",-1.13196826588571,0.858925487111228
"speaker_002",1877,"M","KIT",-0.604308077796006,1.67675964357583
"speaker_002",1877,"M","KIT",-0.78019480715924,1.8050473543938
"speaker_002",1877,"M","KIT",-1.45270289001866,1.47096477413866
"speaker_002",1877,"M","KIT",-1.6285896193819,0.784090989134075
"speaker_002",1877,"M","KIT",0.275125569020165,1.56985321789418
"speaker_002",1877,"M","KIT",-0.480152739421958,0.599677404833234
"speaker_002",1877,"M","KIT",-1.0181592057095,0.877634111605516
"speaker_002",1877,"M","KIT",-1.19404593507273,2.2460363603306
"speaker_002",1877,"M","KIT",-0.190456949882514,0.244213539441758
"speaker_002",1877,"M","KIT",-0.842272476346264,1.36138568781497
"speaker_002",1877,"M","KIT",-0.39738251383926,0.0250553667943813
"speaker_002",1877,"M","KIT",-0.262880897267375,0.957813930866751
"speaker_002",1877,"M","KIT",-0.976774092918149,1.44691082836029
"speaker_002",1877,"M","LOT",0.430319741987724,-1.24178577753314
"speaker_002",1877,"M","LOT",0.63724530594447,-1.15358797634578
"speaker_002",1877,"M","LOT",1.46494756177145,-1.20436852854456
"speaker_002",1877,"M","LOT",-0.438767626630609,-1.26851238395355
"speaker_002",1877,"M","LOT",0.606206471350958,-1.57586835778828
"speaker_002",1877,"M","LOT",-0.00422394232144257,-1.45827128953847
"speaker_002",1877,"M","LOT",0.119931396052605,-0.45602354877303
"speaker_002",1877,"M","LOT",0.182009065239629,-1.90193295611731
"speaker_002",1877,"M","LOT",-0.138725558893327,-1.37007348835111
"speaker_002",1877,"M","LOT",0.3682420728007,-1.35403752449886
"speaker_002",1877,"M","LOT",-0.387036235641423,-1.48232523531684
"speaker_002",1877,"M","LOT",1.40286989258443,-1.86718836777077
"speaker_002",1877,"M","LOT",0.461358576581236,-1.35671018514091
"speaker_002",1877,"M","LOT",-0.211149506278189,-1.53577844815766
"speaker_002",1877,"M","LOT",1.4235624489801,-1.06004485387434
"speaker_002",1877,"M","NURSE",-0.118033002497653,-0.148667574938295
"speaker_002",1877,"M","NURSE",-0.0456090551127918,0.663821260242222
"speaker_002",1877,"M","NURSE",0.275125569020165,-0.415933639142412
